,titles,companies,locations,reviews,noofreviews,descriptions,salaries
1226,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",3.4 out of 5 stars,"55,003 reviews","Job Summary
The primary purpose of this role is to provide advanced analytical capabilities to support data science initiatives. This position gains experience in various areas including, but not limited to: predictive modeling; personalization and recommendation algorithms; natural language processing and text mining; search recall, precision, ranking, and related problems; optimization and mathematical programming with applications in labor scheduling, inventory and capacity planning, network flows, and supply chain optimization.

A Senior Data Scientist solves complex problems that do not yet have solutions in the research. Therefore, the individual in this role must be an expert in his/her field and confident in interacting and proposing solutions to the business. This role influences the thought process and methodology for other team members.

Qualifications
Minimum Qualifications
Bachelor's Degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field (or equivalent work experience in a related field) AND 4 years of experience in analytics AND 2 years of programming experience (Python, Java, Scala, Rust, etc.)
OR
Master's Degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field AND 2 years of experience in analytics AND 1 year of programming experience (Python, Java, Scala, Rust, etc.)
OR
Ph.D. in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field AND 1 year of experience in analytics
Also
Knowledge of SQL and various statistical modeling or machine learning techniques

Preferred Qualifications
Ph.D. degree in Mathematics, Statistics, Physics, Economics, Engineering, Computer Science, Data or Information Science, or related quantitative analytic field
3 years of experience performing predictive analytics at a large scale enterprise
3 years of experience in data science or advanced analytics in industry
SQL Experience
Programming experience (Python, Java, Scala, Rust, etc.)
Experience using multiple data systems and sources (such as Hadoop, Spark, Aster, Teradata, etc.)

Lowe's is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.",None
1227,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,"Responsibilities
· Research & develop Machine Learning models for security problems, in the areas of Networking, Application & Data.
· Suggest, collect and synthesize requirements and create effective features.
· Apply research methodologies to identify the Machine Learning models for the problem at hand.
Minimum Qualifications
· Minimum of 7+ years of relevant experience in implementing and deploying Machine Learning solutions (using various models, such as Linear/Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Hidden Markov Models, Conditional Random Fields, Topic Modeling, Game Theory, Mechanism Design, etc.)
· Extensive experience in handling Time-series data
· Extensive background in statistical analysis and modeling (distributions, hypothesis testing, probability theory, etc.)
· Experience in working on anomaly detection
· Experience in handling structured and unstructured data.
· Strong hands-on experience with statistical packages and ML libraries (e.g. Python scikit learn, Spark MLlib, etc.)
· Experience in developing and debugging in one or more of the languages Python
Preferred Qualifications
· Experience working with relational and NoSQL/Graph databases
· Unsupervised & Deep Learning Experience
· Experience in applying Machine Learning techniques
· Ability and willingness to multi-task and learn new technologies quickly
Job Type: Full-time
Salary: ₹300,000.00 - ₹600,000.00 per year
Schedule:
Day shift
Experience:
Python: 3 years (Required)
Machine learning: 3 years (Required)
Ability to Commute:
Indore, Madhya Pradesh (Required)
Ability to Relocate:
Indore, Madhya Pradesh: Relocate before starting work (Required)
Speak with the employer
+91 6266048293","₹3,00,000 - ₹6,00,000 a year"
1228,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",3.6 out of 5 stars,"20,096 reviews","Company Description

Tesco Bengaluru
We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility, providing cutting-edge technological solutions and empowering our colleagues to do ever more for our customers. With cross-functional expertise in Global Business Services and Retail Technology & Engineering, a wide network of teams and strong governance we reduce complexity thereby offering high quality services for our customers. Tesco Bengaluru, established in 2004 to enable standardisation and build centralised capabilities and competencies, makes the experience better for our millions of customers worldwide and simpler for over 4,40,000 colleagues.
At Tesco Business Solutions, we have a mission to simplify, scale & partner to serve our customers, colleagues and suppliers through a best-in-class intelligent Business Services model . We do this by building a world class business services model by executing service model framework right at the heart of everything we do for our worldwide customers. The key objective is to implement and execute service model across all our functions and markets consistently. The ethos of business services is to free-up our colleagues from a regular manual operational work. We use cognitive technology to augment our key decision making. We also built a Continuous Improvement (CI) culture across functions to drive bottom-up business efficiencies by optimising processes. Business services colleagues need to act as a business partner with our group stakeholders to build a collaborative partnership driving continuous improvement across markets and functions to lead the best customer experience by serving our shoppers a little better every day.
At Tesco, inclusion means that Everyone's Welcome. Everyone is treated fairly and with respect; by valuing individuality and uniqueness we create a sense of belonging.
Diversity and inclusion have always been at the heart of Tesco. It is embedded in our values: we treat people how they want to be treated. We always want our colleagues to feel they can be themselves at work and we are committed to helping them be at their best.
Across the Tesco group we are building an inclusive workplace, a place to actively celebrate the cultures, personalities and preferences of our colleagues, who in turn help to build the success of our business and reflect the diversity of the communities we serve.

Job Description

Follow Tesco's Business Code of Conduct and always act with integrity and due diligence
Accountable for engaging with markets to understand their key outcomes; identifying and implementing analytics projects that will result in disproportionate returns
Drive value realization through delivery of high impact projects and efficiency gain by automating repeatable tasks
Track and measure return on investment for Analytical Investments
Accountable for achieving teams objectives; partner management and issue management
Institutionalize robust ways of working through reusable frameworks; code and knowledge management
Develop analytical assets that are deployed in production and will deliver value on sustained periods of time
Collaborate with colleagues to craft; implement and measure analytical solution
Develop and lead an impactful team; crafting an environment for success by setting direction and mentoring them to succeed through inspiring conversations every day
Hands-on problem solving. You will be required to get hands dirty with data and applied math
Initiates and crafts continuous improvements initiatives to drive performance within their teams
Diagnose and recommends solutions to operational challenges; using specialist knowledge and operational expertise.

Qualifications

- Understanding of machine learning techniques - Linear & Logistics regression; Decision Trees; Random Forest; XgBoost and Neural Network
Knowledge of Python; SQL; Hive and one of the visualization tools (Tableau)
Stakeholder management; Operations Delivery; Analysis and Judgment; People Policies and Processes; Foundational Statistics & Math

Additional Information

Last Date of Application- 14th Nov 2023
Important Notice:
On behalf of Tesco Bengaluru, we must caution all job seekers and educational institutions that Tesco Bengaluru does not authorise any third parties to release employment offers or conduct recruitment drives via a third party. Hence, beware of inauthentic and fraudulent job offers or recruitment drives from any individuals or websites purporting to represent Tesco. Further, Tesco Bengaluru does not charge any fee or other emoluments for any reason (including without limitation, visa fees) or seek compensation from educational institutions to participate in recruitment events.
Accordingly, please check the authenticity of any such offers before acting on them and where acted upon, you do so at your own risk. Tesco Bengaluru shall neither be responsible for honouring or making good the promises made by fraudulent third parties, nor for any monetary or any other loss incurred by the aggrieved individual or educational institution.
In the event that you come across any fraudulent activities in the name of Tesco Bengaluru, please feel free report the incident at recruitment_compliance_india@tesco.com",None
1229,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,"Required minimum one year experienced persons in Data Science, AI, Deep Learning and ML to train fresh and experience candidate. Offline mode only.
Flexible timing
Job Types: Freelance, Part-time, Full-time
Contract length: 24 months
Salary: ₹30,000.00 - ₹40,000.00 per month
Expected hours: 20 per week
Benefits:
Flexible schedule
Schedule:
Day shift
Evening shift
Morning shift
Rotational shift
Weekend only
Education:
Bachelor's (Preferred)
Experience:
Teaching: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Coimbatore, Tamil Nadu (Required)
Ability to Relocate:
Coimbatore, Tamil Nadu: Relocate before starting work (Required)
Speak with the employer
+91 7010063123","₹30,000 - ₹40,000 a month"
1230,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1231,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1232,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1233,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1234,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1235,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1236,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1237,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1238,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1239,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1240,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1241,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1242,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1243,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1244,Lead ML Engineer,Affine,India,None,None,None,None
1245,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1246,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1247,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1248,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1249,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1250,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1251,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1252,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1253,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1254,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1255,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1256,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1257,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1258,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1259,Lead ML Engineer,Affine,India,None,None,None,None
1260,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1261,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1262,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1263,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1264,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1265,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1266,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1267,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1268,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1269,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1270,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1271,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1272,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1273,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1274,Lead ML Engineer,Affine,India,None,None,None,None
1275,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1276,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1277,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1278,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1279,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1280,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1281,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1282,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1283,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1284,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1285,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1286,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1287,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1288,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1289,Lead ML Engineer,Affine,India,None,None,None,None
1290,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1291,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1292,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1293,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1294,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1295,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1296,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1297,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1298,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1299,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1300,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1301,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1302,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1303,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1304,Lead ML Engineer,Affine,India,None,None,None,None
1305,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1306,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1307,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1308,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1309,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1310,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1311,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1312,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1313,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1314,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1315,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1316,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1317,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1318,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1319,Lead ML Engineer,Affine,India,None,None,None,None
1320,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1321,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1322,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1323,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1324,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1325,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1326,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1327,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1328,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1329,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1330,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1331,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1332,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1333,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1334,Lead ML Engineer,Affine,India,None,None,None,None
1335,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1336,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1337,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1338,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1339,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1340,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1341,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1342,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1343,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1344,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1345,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1346,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1347,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1348,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1349,Lead ML Engineer,Affine,India,None,None,None,None
1350,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1351,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1352,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1353,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1354,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1355,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1356,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1357,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1358,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1359,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1360,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1361,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1362,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1363,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1364,Lead ML Engineer,Affine,India,None,None,None,None
1365,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1366,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1367,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1368,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1369,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1370,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1371,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1372,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1373,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1374,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1375,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1376,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1377,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1378,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1379,Lead ML Engineer,Affine,India,None,None,None,None
1380,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1381,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1382,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1383,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1384,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1385,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1386,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1387,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1388,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1389,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1390,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1391,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1392,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1393,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1394,Lead ML Engineer,Affine,India,None,None,None,None
1395,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1396,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1397,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1398,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1399,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1400,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1401,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1402,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1403,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1404,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1405,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1406,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1407,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1408,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1409,Lead ML Engineer,Affine,India,None,None,None,None
1410,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1411,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1412,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1413,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
1414,Senior Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,None,None
1415,"Manager, Machine Learning Engineer",Capital One,"Bengaluru, Karnataka",None,None,None,None
1416,Faculty - Artificial Intelligence,EIM,"Kochi, Kerala",None,None,None,None
1417,"Senior Data Scientist, SCM",Neem Consulting,Remote in India,None,None,None,None
1418,Quant Analytics - Associate Senior,JPMorgan Chase & Co,"Bengaluru, Karnataka",None,None,None,None
1419,Technical Content Creator - Artificial Intelligence,DTT (Digital Transformation Twin),"Lucknow, Uttar Pradesh",None,None,None,"₹35,000 - ₹45,000 a month"
1420,"Applied Scientist, EU INTech",ADCI - Karnataka,"Bengaluru, Karnataka",None,None,None,None
1421,Lead Analyst – Data Science,Travelopia,"Bengaluru, Karnataka",None,None,None,None
1422,Data Science Trainer cum Developer,Expertz lab Technologies,"Ernakulam, Kerala",None,None,None,"₹12,000 - ₹20,000 a month"
1423,Senior Data Scientist / Data Scientist 2,CommerceIQ,"Bengaluru, Karnataka",None,None,None,None
1424,Lead ML Engineer,Affine,India,None,None,None,None
1425,Senior Data scientist,ZF,"Chennai, Tamil Nadu",None,None,None,None
1426,Sales Manager B2B & B2C (Data Science ED-TECH)-Noida,Emerging India Educational Services Pvt Ltd,"Noida, Uttar Pradesh",None,None,None,"₹30,000 - ₹50,000 a month"
1427,Assistant Manager - CMG - R&I - Data Science Specialist - Hyderabad,Deloitte,"Hyderabad, Telangana",None,None,None,None
1428,Data Science,Rojgar Group,"Mumbai, Maharashtra",None,None,None,None
